enonce,type,reponse,explication,difficulte,points,tempsLimite,categorie,choixA,choixB,choixC,choixD,mediaFile,audioFile,videoFile,videoUrl,videoDebut,videoFin
Quel instrument entend-on ?,AUDIO,Le tam-tam,Tambour traditionnel.,FACILE,100,30,Musique,Le djembé,Le tam-tam,Le tambour parlant,Le tabala,,audio/instrument-le-tam-tam.mp3,,,,
Quel instrument entend-on ?,AUDIO,Le ngoni,Luth traditionnel mandingue.,DIFFICILE,200,30,Musique,Le tabala,Le djembé,Le balafon,Le ngoni,,audio/instrument-le-ngoni.mp3,,,,
Quel instrument entend-on ?,AUDIO,Le tambour parlant,Tambour à tension (dundun).,MOYEN,150,30,Musique,Le tabala,Le tambour parlant,Le ngoni,Le djembé,,audio/instrument-le-tambour-parlant.mp3,,,,
Quel instrument entend-on ?,AUDIO,Le tabala,Grand tambour cérémoniel.,DIFFICILE,200,30,Musique,Le ngoni,Le tabala,Le balafon,La sanza,,audio/instrument-le-tabala.mp3,,,,
Quel instrument entend-on ?,AUDIO,La sanza,Piano à pouces (mbira).,DIFFICILE,200,30,Musique,Le tam-tam,La sanza,Le ngoni,Le tabala,,audio/instrument-la-sanza.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,7 Seconds,« 7 Seconds » de Youssou N'Dour. Duo avec Neneh Cherry (Sénégal).,MOYEN,150,30,Musique,7 Seconds,La Jet Set,Amena,Yorobo,,audio/youssou-n-dour-7-seconds.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Youssou N'Dour,« 7 Seconds » de Youssou N'Dour. Duo avec Neneh Cherry (Sénégal).,MOYEN,150,30,Musique,Youssou N'Dour,Wizkid,Côte d'Ivoire,Roseline Layo,,audio/youssou-n-dour-7-seconds.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Madan,« Madan » de Salif Keïta. Voix d'or du Mali.,DIFFICILE,200,30,Musique,Plus fort,Daishi,Madan,Yababy,,audio/salif-keita-madan.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Salif Keïta,« Madan » de Salif Keïta. Voix d'or du Mali.,DIFFICILE,200,30,Musique,Yodé & Siro,Molare,Salif Keïta,Magic System,,audio/salif-keita-madan.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Agolo,« Agolo » de Angélique Kidjo. Star béninoise.,DIFFICILE,200,30,Musique,Agolo,Bouche A,Plus fort,Le pays va mal,,audio/angelique-kidjo-agolo.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Angélique Kidjo,« Agolo » de Angélique Kidjo. Star béninoise.,DIFFICILE,200,30,Musique,Côte d'Ivoire,Aïcha Koné,Wizkid,Angélique Kidjo,,audio/angelique-kidjo-agolo.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Original,« Original » de Fally Ipupa. Rumba congolaise.,MOYEN,150,30,Musique,Agolo,Fall,7 Seconds,Original,,audio/fally-ipupa-original.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Fally Ipupa,« Original » de Fally Ipupa. Rumba congolaise.,MOYEN,150,30,Musique,Fally Ipupa,Molare,Sidiki Diabaté,Kiff No Beat,,audio/fally-ipupa-original.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Loi,« Loi » de Koffi Olomidé. Rumba congolaise.,DIFFICILE,200,30,Musique,Madan,Loi,Bouche A,Diaraby Nene,,audio/koffi-olomide-loi.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Koffi Olomidé,« Loi » de Koffi Olomidé. Rumba congolaise.,DIFFICILE,200,30,Musique,Koffi Olomidé,Sidiki Diabaté,Côte d'Ivoire,Kerozen,,audio/koffi-olomide-loi.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Last Last,« Last Last » de Burna Boy. Afrobeats nigérian.,FACILE,100,30,Musique,Brigadier Sabari,Madan,Sagacité,Last Last,,audio/burna-boy-last-last.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Burna Boy,« Last Last » de Burna Boy. Afrobeats nigérian.,FACILE,100,30,Musique,Sidiki Diabaté,Josey,Burna Boy,Safarel Obiang,,audio/burna-boy-last-last.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Essence,« Essence » de Wizkid. Afrobeats nigérian.,FACILE,100,30,Musique,Yorobo,Essence,Désolé,Espérance,,audio/wizkid-essence.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Wizkid,« Essence » de Wizkid. Afrobeats nigérian.,FACILE,100,30,Musique,Wizkid,Lewis Camara,Douk Saga,Fally Ipupa,,audio/wizkid-essence.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Fall,« Fall » de Davido. Afrobeats nigérian.,MOYEN,150,30,Musique,Daishi,Last Last,Awoulaba,Fall,,audio/davido-fall.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Davido,« Fall » de Davido. Afrobeats nigérian.,MOYEN,150,30,Musique,Burna Boy,Josey,Roseline Layo,Davido,,audio/davido-fall.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Fais-moi confiance,« Fais-moi confiance » de Sidiki Diabaté. Prince de la kora (Mali).,DIFFICILE,200,30,Musique,Diplôme,1er Gaou,Mon Africain,Fais-moi confiance,,audio/sidiki-diabate-fais-moi-confiance.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Sidiki Diabaté,« Fais-moi confiance » de Sidiki Diabaté. Prince de la kora (Mali).,DIFFICILE,200,30,Musique,Petit Denis,Josey,Alpha Blondy,Sidiki Diabaté,,audio/sidiki-diabate-fais-moi-confiance.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Diaraby Nene,« Diaraby Nene » de Oumou Sangaré. Diva malienne.,DIFFICILE,200,30,Musique,200% Zoblazo,Fais-moi confiance,Kpangor,Diaraby Nene,,audio/oumou-sangare-diaraby-nene.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Oumou Sangaré,« Diaraby Nene » de Oumou Sangaré. Diva malienne.,DIFFICILE,200,30,Musique,Douk Saga,Oumou Sangaré,Burna Boy,Suspect 95,,audio/oumou-sangare-diaraby-nene.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Gaou,« Gaou » de Toofan. Duo togolais.,DIFFICILE,200,30,Musique,Plus rien ne m'étonne,Gaou,200% Zoblazo,Kababble,,audio/toofan-gaou.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Toofan,« Gaou » de Toofan. Duo togolais.,DIFFICILE,200,30,Musique,Josey,Lewis Camara,Toofan,Côte d'Ivoire,,audio/toofan-gaou.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Désolé,« Désolé » de Sexion d'Assaut. Rap français.,MOYEN,150,30,Musique,Sagacité,Jérusalem,Désolé,Yababy,,audio/sexion-d-assaut-desole.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Sexion d'Assaut,« Désolé » de Sexion d'Assaut. Rap français.,MOYEN,150,30,Musique,Oumou Sangaré,Suspect 95,Sexion d'Assaut,Safarel Obiang,,audio/sexion-d-assaut-desole.mp3,,,,
Quel son / quelle ambiance entend-on ?,AUDIO,Le chant du coq,Son matinal familier.,FACILE,100,30,Nature,Le chant du coq,Le rugissement du lion,Le bruit de la pluie tropicale,Le cri du singe,,audio/son-le-chant-du-coq.mp3,,,,
Quel son / quelle ambiance entend-on ?,AUDIO,Le rugissement du lion,Cri du roi de la savane.,FACILE,100,30,Nature,L'ambiance d'un marché,Les vagues de l'océan,Le rugissement du lion,Le klaxon d'un gbaka,,audio/son-le-rugissement-du-lion.mp3,,,,
Quel son / quelle ambiance entend-on ?,AUDIO,Le barrissement de l'éléphant,Cri de l'éléphant.,MOYEN,150,30,Nature,Le bruit de la pluie tropicale,Le barrissement de l'éléphant,Le chant du coq,L'appel à la prière,,audio/son-le-barrissement-de-l-elephant.mp3,,,,
Quel son / quelle ambiance entend-on ?,AUDIO,Le cri du singe,Vocalise de primate.,MOYEN,150,30,Nature,Le sifflet de l'arbitre,Le chant du coq,Le cri du singe,Le bruit de la pluie tropicale,,audio/son-le-cri-du-singe.mp3,,,,
Quel son / quelle ambiance entend-on ?,AUDIO,Le bruit de la pluie tropicale,Ambiance de saison des pluies.,MOYEN,150,30,Nature,Le bruit de la pluie tropicale,Le sifflet de l'arbitre,Le chant du coq,L'ambiance d'un marché,,audio/son-le-bruit-de-la-pluie-tropicale.mp3,,,,
Quel son / quelle ambiance entend-on ?,AUDIO,Les vagues de l'océan,"Ambiance du littoral (Assinie, Grand-Bassam).",FACILE,100,30,Nature,L'ambiance d'un marché,Le cri du singe,Les vagues de l'océan,Le rugissement du lion,,audio/son-les-vagues-de-l-ocean.mp3,,,,
Quel son / quelle ambiance entend-on ?,AUDIO,L'ambiance d'un marché,Brouhaha d'un marché abidjanais.,MOYEN,150,30,Culture,Le klaxon d'un gbaka,L'ambiance d'un marché,L'appel à la prière,Le sifflet de l'arbitre,,audio/son-l-ambiance-d-un-marche.mp3,,,,
Quel son / quelle ambiance entend-on ?,AUDIO,Le klaxon d'un gbaka,Son du transport urbain d'Abidjan.,DIFFICILE,200,30,Culture,Le klaxon d'un gbaka,L'appel à la prière,Les vagues de l'océan,Le rugissement du lion,,audio/son-le-klaxon-d-un-gbaka.mp3,,,,
Quel son / quelle ambiance entend-on ?,AUDIO,L'appel à la prière,Adhan depuis une mosquée.,MOYEN,150,30,Culture,L'appel à la prière,Le chant du coq,Le cri du singe,Le sifflet de l'arbitre,,audio/son-l-appel-a-la-priere.mp3,,,,
Quel son / quelle ambiance entend-on ?,AUDIO,Le sifflet de l'arbitre,Son du terrain de football.,FACILE,100,30,Sport,Les vagues de l'océan,Le klaxon d'un gbaka,Le sifflet de l'arbitre,L'ambiance d'un marché,,audio/son-le-sifflet-de-l-arbitre.mp3,,,,
